date,FELONY,MISDEMEANOR,VIOLATION,total
2006-07-18,503,863,233,1599
2006-07-19,524,854,205,1583
2006-07-20,541,930,193,1664
2006-07-21,526,802,192,1520
2006-07-22,496,765,194,1455
2006-07-23,415,740,187,1342
2006-07-24,463,839,183,1485
2006-07-25,521,922,209,1652
2006-07-26,502,886,192,1580
2006-07-27,529,818,191,1538
2006-07-28,564,868,210,1642
2006-07-29,489,814,192,1495
2006-07-30,461,738,186,1385
2006-07-31,490,723,198,1411
2006-08-01,631,987,218,1836
2006-08-02,485,815,190,1490
2006-08-03,500,849,217,1566
2006-08-04,543,849,217,1609
2006-08-05,526,822,213,1561
2006-08-06,391,752,211,1354
2006-08-07,510,855,219,1584
2006-08-08,555,882,195,1632
2006-08-09,583,898,213,1694
2006-08-10,500,889,225,1614
2006-08-11,524,890,190,1604
2006-08-12,466,853,202,1521
2006-08-13,472,742,172,1386
2006-08-14,468,858,205,1531
2006-08-15,507,913,197,1617
2006-08-16,533,894,198,1625
2006-08-17,499,892,168,1559
2006-08-18,544,874,173,1591
2006-08-19,481,754,182,1417
2006-08-20,500,836,203,1539
2006-08-21,503,793,213,1509
2006-08-22,505,788,189,1482
2006-08-23,533,819,176,1528
2006-08-24,483,887,176,1546
2006-08-25,553,804,171,1528
2006-08-26,450,775,182,1407
2006-08-27,434,623,143,1200
2006-08-28,466,750,152,1368
2006-08-29,451,680,140,1271
2006-08-30,517,860,163,1540
2006-08-31,500,791,154,1445
2006-09-01,644,981,212,1837
2006-09-02,428,676,138,1242
2006-09-03,405,750,163,1318
2006-09-04,474,746,192,1412
2006-09-05,476,756,200,1432
2006-09-06,535,789,184,1508
2006-09-07,479,856,196,1531
2006-09-08,531,908,233,1672
2006-09-09,478,817,196,1491
2006-09-10,456,715,215,1386
2006-09-11,509,741,207,1457
2006-09-12,480,697,206,1383
2006-09-13,503,865,203,1571
2006-09-14,559,800,180,1539
2006-09-15,549,831,191,1571
2006-09-16,463,793,183,1439
2006-09-17,409,728,215,1352
2006-09-18,461,739,189,1389
2006-09-19,470,816,197,1483
2006-09-20,579,905,227,1711
2006-09-21,531,836,190,1557
2006-09-22,564,848,225,1637
2006-09-23,490,797,215,1502
2006-09-24,500,778,196,1474
2006-09-25,513,876,219,1608
2006-09-26,492,883,239,1614
2006-09-27,514,844,206,1564
2006-09-28,534,942,196,1672
2006-09-29,577,892,182,1651
2006-09-30,490,845,192,1527
2006-10-01,564,916,207,1687
2006-10-02,488,833,213,1534
2006-10-03,538,811,217,1566
2006-10-04,512,890,231,1633
2006-10-05,529,798,189,1516
2006-10-06,616,925,208,1749
2006-10-07,472,806,184,1462
2006-10-08,415,748,184,1347
2006-10-09,430,773,187,1390
2006-10-10,571,841,203,1615
2006-10-11,480,723,169,1372
2006-10-12,576,874,194,1644
2006-10-13,518,887,185,1590
2006-10-14,495,748,161,1404
2006-10-15,414,788,160,1362
2006-10-16,493,739,199,1431
2006-10-17,456,741,170,1367
2006-10-18,533,866,207,1606
2006-10-19,555,794,209,1558
2006-10-20,577,905,204,1686
2006-10-21,468,826,189,1483
2006-10-22,411,778,164,1353
2006-10-23,508,712,222,1442
2006-10-24,489,785,176,1450
2006-10-25,528,824,173,1525
2006-10-26,486,823,181,1490
2006-10-27,531,941,183,1655
2006-10-28,474,753,180,1407
2006-10-29,416,739,170,1325
2006-10-30,467,774,186,1427
2006-10-31,577,876,211,1664
2006-11-01,673,1093,244,2010
2006-11-02,498,758,198,1454
2006-11-03,558,837,185,1580
2006-11-04,395,772,187,1354
2006-11-05,413,630,169,1212
2006-11-06,488,800,189,1477
2006-11-07,457,671,177,1305
2006-11-08,444,734,145,1323
2006-11-09,502,879,209,1590
2006-11-10,542,926,217,1685
2006-11-11,497,813,189,1499
2006-11-12,416,695,165,1276
2006-11-13,500,722,185,1407
2006-11-14,446,828,204,1478
2006-11-15,547,861,223,1631
2006-11-16,484,785,177,1446
2006-11-17,564,847,206,1617
2006-11-18,466,740,177,1383
2006-11-19,409,658,139,1206
2006-11-20,455,789,184,1428
2006-11-21,490,814,173,1477
2006-11-22,520,788,157,1465
2006-11-23,328,508,129,965
2006-11-24,449,800,139,1388
2006-11-25,468,800,159,1427
2006-11-26,401,656,153,1210
2006-11-27,489,737,194,1420
2006-11-28,513,797,167,1477
2006-11-29,475,747,169,1391
2006-11-30,553,858,196,1607
2006-12-01,707,916,219,1842
2006-12-02,492,786,183,1461
2006-12-03,405,655,191,1251
2006-12-04,460,727,173,1360
2006-12-05,454,839,148,1441
2006-12-06,542,826,177,1545
2006-12-07,484,759,185,1428
2006-12-08,473,816,180,1469
2006-12-09,467,752,129,1348
2006-12-10,433,691,175,1299
2006-12-11,494,775,179,1448
2006-12-12,542,873,201,1616
2006-12-13,467,794,163,1424
2006-12-14,483,735,204,1422
2006-12-15,576,893,211,1680
2006-12-16,445,739,160,1344
2006-12-17,390,680,164,1234
2006-12-18,457,717,170,1344
2006-12-19,492,774,155,1421
2006-12-20,559,816,189,1564
2006-12-21,550,831,150,1531
2006-12-22,575,815,183,1573
2006-12-23,463,758,164,1385
2006-12-24,383,542,155,1080
2006-12-25,274,487,135,896
2006-12-26,400,704,148,1252
2006-12-27,459,729,145,1333
2006-12-28,475,760,144,1379
2006-12-29,491,767,142,1400
2006-12-30,420,715,143,1278
2006-12-31,414,604,132,1150
2007-01-01,864,1177,217,2258
2007-01-02,504,854,215,1573
2007-01-03,518,872,187,1577
2007-01-04,464,894,198,1556
2007-01-05,531,952,232,1715
2007-01-06,454,829,183,1466
2007-01-07,381,744,176,1301
2007-01-08,454,759,199,1412
2007-01-09,445,792,152,1389
2007-01-10,446,878,186,1510
2007-01-11,504,871,171,1546
2007-01-12,541,923,182,1646
2007-01-13,449,847,136,1432
2007-01-14,423,725,175,1323
2007-01-15,413,763,179,1355
2007-01-16,478,818,161,1457
2007-01-17,446,768,160,1374
2007-01-18,463,836,166,1465
2007-01-19,517,894,151,1562
2007-01-20,438,837,133,1408
2007-01-21,348,667,151,1166
2007-01-22,406,732,166,1304
2007-01-23,472,833,162,1467
2007-01-24,453,862,173,1488
2007-01-25,418,778,148,1344
2007-01-26,401,769,143,1313
2007-01-27,442,839,161,1442
2007-01-28,407,711,153,1271
2007-01-29,384,660,161,1205
2007-01-30,444,729,154,1327
2007-01-31,441,756,156,1353
2007-02-01,529,910,176,1615
2007-02-02,516,916,188,1620
2007-02-03,370,743,170,1283
2007-02-04,322,619,130,1071
2007-02-05,350,640,159,1149
2007-02-06,362,719,149,1230
2007-02-07,425,804,170,1399
2007-02-08,408,832,159,1399
2007-02-09,447,810,168,1425
2007-02-10,423,792,152,1367
2007-02-11,314,629,168,1111
2007-02-12,406,740,156,1302
2007-02-13,435,722,166,1323
2007-02-14,320,586,128,1034
2007-02-15,369,706,162,1237
2007-02-16,448,783,152,1383
2007-02-17,370,757,151,1278
2007-02-18,332,651,161,1144
2007-02-19,343,622,132,1097
2007-02-20,446,832,151,1429
2007-02-21,436,832,178,1446
2007-02-22,380,755,167,1302
2007-02-23,421,825,144,1390
2007-02-24,437,766,161,1364
2007-02-25,337,685,155,1177
2007-02-26,374,728,171,1273
2007-02-27,441,867,174,1482
2007-02-28,454,860,185,1499
2007-03-01,552,990,210,1752
2007-03-02,499,840,166,1505
2007-03-03,430,888,145,1463
2007-03-04,348,741,149,1238
2007-03-05,407,710,162,1279
2007-03-06,337,689,156,1182
2007-03-07,409,828,153,1390
2007-03-08,425,774,176,1375
2007-03-09,490,873,187,1550
2007-03-10,416,864,183,1463
2007-03-11,353,720,155,1228
2007-03-12,438,791,190,1419
2007-03-13,456,889,180,1525
2007-03-14,475,917,192,1584
2007-03-15,462,853,207,1522
2007-03-16,385,645,180,1210
2007-03-17,271,595,138,1004
2007-03-18,328,674,147,1149
2007-03-19,369,720,162,1251
2007-03-20,478,864,178,1520
2007-03-21,434,797,164,1395
2007-03-22,455,915,204,1574
2007-03-23,464,909,199,1572
2007-03-24,376,847,169,1392
2007-03-25,376,760,160,1296
2007-03-26,441,822,167,1430
2007-03-27,429,855,184,1468
2007-03-28,453,887,188,1528
2007-03-29,432,811,155,1398
2007-03-30,496,884,181,1561
2007-03-31,408,806,131,1345
2007-04-01,505,859,175,1539
2007-04-02,416,743,172,1331
2007-04-03,390,749,164,1303
2007-04-04,387,740,136,1263
2007-04-05,398,810,152,1360
