date,FELONY,MISDEMEANOR,VIOLATION,total
2008-05-16,466,844,162,1472
2008-05-17,415,889,155,1459
2008-05-18,353,755,157,1265
2008-05-19,424,703,134,1261
2008-05-20,420,812,163,1395
2008-05-21,468,882,183,1533
2008-05-22,446,891,153,1490
2008-05-23,538,983,159,1680
2008-05-24,428,828,137,1393
2008-05-25,342,792,149,1283
2008-05-26,365,705,179,1249
2008-05-27,505,895,181,1581
2008-05-28,480,888,203,1571
2008-05-29,451,850,162,1463
2008-05-30,506,982,179,1667
2008-05-31,422,757,169,1348
2008-06-01,502,998,234,1734
2008-06-02,451,786,220,1457
2008-06-03,466,974,201,1641
2008-06-04,449,886,194,1529
2008-06-05,464,856,203,1523
2008-06-06,531,986,203,1720
2008-06-07,431,847,185,1463
2008-06-08,386,815,171,1372
2008-06-09,395,751,186,1332
2008-06-10,464,876,174,1514
2008-06-11,494,861,200,1555
2008-06-12,455,927,199,1581
2008-06-13,554,987,210,1751
2008-06-14,454,848,167,1469
2008-06-15,374,734,189,1297
2008-06-16,458,846,201,1505
2008-06-17,468,884,187,1539
2008-06-18,471,860,178,1509
2008-06-19,472,876,186,1534
2008-06-20,578,1032,183,1793
2008-06-21,475,902,179,1556
2008-06-22,407,762,179,1348
2008-06-23,392,778,181,1351
2008-06-24,498,939,181,1618
2008-06-25,494,905,180,1579
2008-06-26,474,919,169,1562
2008-06-27,487,919,171,1577
2008-06-28,440,830,210,1480
2008-06-29,408,738,178,1324
2008-06-30,414,752,197,1363
2008-07-01,607,1043,222,1872
2008-07-02,467,905,153,1525
2008-07-03,505,894,165,1564
2008-07-04,381,760,166,1307
2008-07-05,405,865,188,1458
2008-07-06,369,731,149,1249
2008-07-07,405,756,172,1333
2008-07-08,419,812,183,1414
2008-07-09,448,845,189,1482
2008-07-10,448,860,213,1521
2008-07-11,533,975,195,1703
2008-07-12,475,797,188,1460
2008-07-13,413,757,145,1315
2008-07-14,448,765,186,1399
2008-07-15,456,845,201,1502
2008-07-16,446,854,183,1483
2008-07-17,488,907,207,1602
2008-07-18,514,931,178,1623
2008-07-19,454,837,194,1485
2008-07-20,399,841,159,1399
2008-07-21,454,767,181,1402
2008-07-22,482,899,183,1564
2008-07-23,523,975,178,1676
2008-07-24,480,888,152,1520
2008-07-25,542,940,170,1652
2008-07-26,457,843,185,1485
2008-07-27,407,788,157,1352
2008-07-28,493,825,178,1496
2008-07-29,482,959,206,1647
2008-07-30,473,925,162,1560
2008-07-31,500,858,134,1492
2008-08-01,678,1054,232,1964
2008-08-02,466,940,180,1586
2008-08-03,436,824,191,1451
2008-08-04,423,820,203,1446
2008-08-05,434,908,198,1540
2008-08-06,478,855,192,1525
2008-08-07,483,889,191,1563
2008-08-08,491,984,184,1659
2008-08-09,461,884,168,1513
2008-08-10,443,820,146,1409
2008-08-11,443,770,172,1385
2008-08-12,473,881,184,1538
2008-08-13,482,883,189,1554
2008-08-14,486,804,154,1444
2008-08-15,528,934,148,1610
2008-08-16,442,899,148,1489
2008-08-17,433,883,169,1485
2008-08-18,425,787,190,1402
2008-08-19,489,898,173,1560
2008-08-20,513,919,175,1607
2008-08-21,477,841,170,1488
2008-08-22,539,890,170,1599
2008-08-23,465,846,173,1484
2008-08-24,405,822,179,1406
2008-08-25,473,746,194,1413
2008-08-26,472,844,177,1493
2008-08-27,445,857,167,1469
2008-08-28,519,890,185,1594
2008-08-29,484,849,164,1497
2008-08-30,468,906,154,1528
2008-08-31,427,759,165,1351
2008-09-01,519,888,182,1589
2008-09-02,489,792,233,1514
2008-09-03,496,788,210,1494
2008-09-04,484,782,225,1491
2008-09-05,551,985,218,1754
2008-09-06,400,751,159,1310
2008-09-07,370,788,161,1319
2008-09-08,461,763,234,1458
2008-09-09,498,763,174,1435
2008-09-10,463,844,212,1519
2008-09-11,460,887,173,1520
2008-09-12,530,874,196,1600
2008-09-13,484,884,188,1556
2008-09-14,438,820,179,1437
2008-09-15,472,850,236,1558
2008-09-16,459,853,175,1487
2008-09-17,473,848,215,1536
2008-09-18,530,901,192,1623
2008-09-19,567,918,180,1665
2008-09-20,467,913,209,1589
2008-09-21,431,746,151,1328
2008-09-22,444,734,186,1364
2008-09-23,489,813,158,1460
2008-09-24,453,901,180,1534
2008-09-25,490,809,187,1486
2008-09-26,513,788,171,1472
2008-09-27,461,815,159,1435
2008-09-28,425,761,190,1376
2008-09-29,490,756,185,1431
2008-09-30,460,822,147,1429
2008-10-01,590,956,197,1743
2008-10-02,481,896,161,1538
2008-10-03,537,919,180,1636
2008-10-04,462,843,161,1466
2008-10-05,370,733,152,1255
2008-10-06,443,725,160,1328
2008-10-07,433,788,192,1413
2008-10-08,450,909,162,1521
2008-10-09,474,838,160,1472
2008-10-10,543,1039,188,1770
2008-10-11,424,881,164,1469
2008-10-12,425,763,149,1337
2008-10-13,377,716,170,1263
2008-10-14,524,859,172,1555
2008-10-15,514,933,189,1636
2008-10-16,478,845,193,1516
2008-10-17,554,937,165,1656
2008-10-18,478,863,146,1487
2008-10-19,383,709,134,1226
2008-10-20,485,763,177,1425
2008-10-21,492,811,170,1473
2008-10-22,416,778,169,1363
2008-10-23,449,803,153,1405
2008-10-24,550,961,177,1688
2008-10-25,454,841,152,1447
2008-10-26,359,738,137,1234
2008-10-27,458,735,167,1360
2008-10-28,394,638,142,1174
2008-10-29,474,762,179,1415
2008-10-30,486,812,171,1469
2008-10-31,553,873,182,1608
2008-11-01,588,1067,186,1841
2008-11-02,371,692,155,1218
2008-11-03,437,700,166,1303
2008-11-04,395,670,146,1211
2008-11-05,507,769,168,1444
2008-11-06,478,814,167,1459
2008-11-07,553,884,193,1630
2008-11-08,445,861,148,1454
2008-11-09,400,719,159,1278
2008-11-10,476,662,182,1320
2008-11-11,438,727,165,1330
2008-11-12,517,771,151,1439
2008-11-13,433,740,152,1325
2008-11-14,480,917,191,1588
2008-11-15,465,795,163,1423
2008-11-16,343,706,132,1181
2008-11-17,419,713,161,1293
2008-11-18,465,730,164,1359
2008-11-19,466,821,143,1430
2008-11-20,522,819,163,1504
2008-11-21,525,913,153,1591
2008-11-22,412,767,132,1311
2008-11-23,337,598,148,1083
2008-11-24,470,730,181,1381
2008-11-25,467,845,151,1463
2008-11-26,448,830,161,1439
2008-11-27,254,527,119,900
2008-11-28,485,823,140,1448
2008-11-29,415,759,115,1289
2008-11-30,336,669,137,1142
2008-12-01,584,880,200,1664
2008-12-02,473,850,172,1495
2008-12-03,468,792,147,1407
2008-12-04,455,740,152,1347
2008-12-05,499,917,163,1579
2008-12-06,400,787,143,1330
2008-12-07,340,618,134,1092
2008-12-08,411,664,144,1219
2008-12-09,488,791,137,1416
2008-12-10,520,808,172,1500
2008-12-11,453,704,120,1277
2008-12-12,501,884,158,1543
2008-12-13,436,826,136,1398
2008-12-14,335,697,131,1163
2008-12-15,442,728,153,1323
2008-12-16,466,732,150,1348
2008-12-17,466,758,167,1391
2008-12-18,469,834,173,1476
2008-12-19,397,670,118,1185
2008-12-20,393,734,157,1284
2008-12-21,351,607,136,1094
2008-12-22,389,582,143,1114
2008-12-23,471,715,119,1305
2008-12-24,382,549,130,1061
2008-12-25,271,473,133,877
2008-12-26,468,700,129,1297
2008-12-27,393,816,120,1329
2008-12-28,379,721,150,1250
2008-12-29,448,664,133,1245
2008-12-30,413,689,122,1224
2008-12-31,442,609,122,1173
2009-01-01,684,1144,199,2027
2009-01-02,412,806,125,1343
2009-01-03,401,830,143,1374
2009-01-04,292,641,149,1082
2009-01-05,424,802,169,1395
2009-01-06,400,736,150,1286
2009-01-07,393,750,155,1298
2009-01-08,433,830,169,1432
2009-01-09,494,889,193,1576
2009-01-10,343,722,147,1212
2009-01-11,282,584,128,994
2009-01-12,409,732,163,1304
2009-01-13,468,844,173,1485
2009-01-14,419,786,163,1368
2009-01-15,407,762,160,1329
2009-01-16,445,768,118,1331
2009-01-17,382,790,131,1303
2009-01-18,329,596,127,1052
2009-01-19,282,611,141,1034
2009-01-20,379,837,153,1369
2009-01-21,397,822,134,1353
2009-01-22,406,814,147,1367
2009-01-23,502,943,157,1602
2009-01-24,371,845,138,1354
2009-01-25,296,632,126,1054
2009-01-26,334,663,157,1154
2009-01-27,406,778,136,1320
2009-01-28,343,672,152,1167
2009-01-29,414,811,140,1365
2009-01-30,434,843,165,1442
2009-01-31,351,798,136,1285
2009-02-01,408,851,194,1453
2009-02-02,388,735,190,1313
2009-02-03,338,638,138,1114
2009-02-04,356,734,145,1235
2009-02-05,318,751,153,1222
2009-02-06,391,866,142,1399
2009-02-07,406,786,128,1320
2009-02-08,310,690,131,1131
2009-02-09,345,722,164,1231
2009-02-10,423,905,172,1500
2009-02-11,435,891,175,1501
2009-02-12,434,906,145,1485
2009-02-13,471,942,149,1562
2009-02-14,361,832,111,1304
2009-02-15,309,783,127,1219
2009-02-16,305,736,120,1161
2009-02-17,409,811,133,1353
2009-02-18,382,769,123,1274
2009-02-19,387,764,123,1274
2009-02-20,407,897,150,1454
2009-02-21,383,878,134,1395
2009-02-22,282,680,123,1085
2009-02-23,328,647,148,1123
2009-02-24,382,811,159,1352
2009-02-25,381,883,140,1404
2009-02-26,435,924,178,1537
2009-02-27,442,971,172,1585
2009-02-28,386,867,147,1400
2009-03-01,403,845,147,1395
2009-03-02,248,486,144,878
2009-03-03,340,668,136,1144
2009-03-04,379,770,154,1303
2009-03-05,406,912,167,1485
2009-03-06,463,921,173,1557
2009-03-07,435,954,164,1553
2009-03-08,326,724,159,1209
2009-03-09,360,731,190,1281
2009-03-10,422,914,163,1499
2009-03-11,470,905,199,1574
2009-03-12,390,898,141,1429
2009-03-13,437,966,156,1559
2009-03-14,376,904,142,1422
2009-03-15,305,830,163,1298
2009-03-16,382,756,165,1303
2009-03-17,368,837,183,1388
2009-03-18,398,917,189,1504
2009-03-19,392,861,164,1417
2009-03-20,419,933,165,1517
2009-03-21,376,874,166,1416
2009-03-22,308,761,156,1225
2009-03-23,326,686,156,1168
2009-03-24,392,884,139,1415
2009-03-25,414,903,158,1475
2009-03-26,379,796,132,1307
2009-03-27,475,1007,181,1663
2009-03-28,414,864,130,1408
2009-03-29,323,748,153,1224
2009-03-30,392,787,154,1333
2009-03-31,422,817,207,1446
2009-04-01,506,1059,192,1757
2009-04-02,432,855,162,1449
2009-04-03,429,869,165,1463
2009-04-04,387,807,139,1333
2009-04-05,344,738,158,1240
2009-04-06,312,721,155,1188
2009-04-07,396,843,155,1394
2009-04-08,410,901,163,1474
2009-04-09,419,900,147,1466
2009-04-10,393,885,150,1428
2009-04-11,361,742,149,1252
2009-04-12,290,670,135,1095
2009-04-13,333,686,151,1170
2009-04-14,370,742,131,1243
2009-04-15,378,811,132,1321
2009-04-16,394,798,137,1329
2009-04-17,440,888,150,1478
2009-04-18,392,872,175,1439
2009-04-19,274,718,140,1132
2009-04-20,376,674,162,1212
2009-04-21,377,872,166,1415
2009-04-22,404,844,167,1415
2009-04-23,415,881,156,1452
2009-04-24,423,1009,164,1596
2009-04-25,390,885,133,1408
2009-04-26,381,794,185,1360
2009-04-27,373,776,196,1345
2009-04-28,454,820,177,1451
2009-04-29,465,886,204,1555
2009-04-30,429,892,188,1509
2009-05-01,560,1051,255,1866
2009-05-02,418,870,155,1443
2009-05-03,314,692,135,1141
2009-05-04,365,704,150,1219
2009-05-05,425,845,179,1449
2009-05-06,460,900,171,1531
2009-05-07,364,825,175,1364
2009-05-08,493,1007,197,1697
2009-05-09,427,891,179,1497
2009-05-10,328,791,161,1280
2009-05-11,376,846,174,1396
2009-05-12,430,929,201,1560
2009-05-13,459,940,197,1596
2009-05-14,407,817,172,1396
2009-05-15,463,1004,205,1672
2009-05-16,434,819,150,1403
2009-05-17,343,725,163,1231
2009-05-18,363,774,178,1315
2009-05-19,364,817,152,1333
2009-05-20,424,956,201,1581
2009-05-21,429,838,202,1469
2009-05-22,455,924,174,1553
2009-05-23,403,897,161,1461
2009-05-24,350,742,148,1240
2009-05-25,381,757,160,1298
2009-05-26,438,775,177,1390
2009-05-27,372,841,156,1369
2009-05-28,446,798,171,1415
2009-05-29,435,945,181,1561
2009-05-30,359,851,162,1372
2009-05-31,357,723,169,1249
2009-06-01,527,989,212,1728
2009-06-02,421,900,190,1511
2009-06-03,449,812,167,1428
2009-06-04,383,727,169,1279
2009-06-05,416,785,173,1374
2009-06-06,380,823,175,1378
2009-06-07,377,764,198,1339
2009-06-08,379,831,208,1418
2009-06-09,409,825,161,1395
2009-06-10,425,934,167,1526
2009-06-11,413,834,169,1416
2009-06-12,447,927,181,1555
2009-06-13,402,883,185,1470
2009-06-14,349,806,179,1334
2009-06-15,395,829,169,1393
2009-06-16,438,902,170,1510
2009-06-17,430,888,187,1505
2009-06-18,369,731,153,1253
2009-06-19,468,945,161,1574
2009-06-20,399,907,151,1457
2009-06-21,333,773,181,1287
2009-06-22,418,841,180,1439
2009-06-23,440,901,196,1537
2009-06-24,412,868,169,1449
2009-06-25,461,875,169,1505
2009-06-26,435,935,163,1533
2009-06-27,407,889,186,1482
2009-06-28,367,884,177,1428
2009-06-29,424,746,189,1359
2009-06-30,460,826,188,1474
2009-07-01,509,1045,233,1787
2009-07-02,407,878,169,1454
2009-07-03,431,948,161,1540
2009-07-04,430,946,150,1526
2009-07-05,355,817,144,1316
2009-07-06,364,787,177,1328
2009-07-07,416,852,150,1418
2009-07-08,401,918,152,1471
2009-07-09,444,915,173,1532
2009-07-10,466,869,168,1503
2009-07-11,455,839,166,1460
2009-07-12,355,709,178,1242
2009-07-13,389,749,175,1313
2009-07-14,394,879,192,1465
2009-07-15,434,951,182,1567
2009-07-16,452,873,177,1502
2009-07-17,488,897,164,1549
2009-07-18,415,959,171,1545
2009-07-19,398,825,205,1428
2009-07-20,415,827,207,1449
2009-07-21,432,780,161,1373
2009-07-22,426,903,179,1508
2009-07-23,432,770,159,1361
2009-07-24,468,872,187,1527
2009-07-25,425,858,169,1452
2009-07-26,362,801,156,1319
2009-07-27,376,794,190,1360
2009-07-28,449,902,200,1551
2009-07-29,435,800,147,1382
2009-07-30,428,850,202,1480
2009-07-31,461,828,202,1491
2009-08-01,513,1117,210,1840
2009-08-02,385,793,144,1322
2009-08-03,391,752,172,1315
2009-08-04,463,890,198,1551
2009-08-05,440,932,190,1562
2009-08-06,456,878,192,1526
2009-08-07,501,963,180,1644
2009-08-08,438,884,159,1481
2009-08-09,363,851,173,1387
2009-08-10,426,757,190,1373
2009-08-11,387,895,168,1450
2009-08-12,456,884,175,1515
2009-08-13,458,941,153,1552
2009-08-14,496,938,182,1616
2009-08-15,508,920,189,1617
2009-08-16,362,785,193,1340
2009-08-17,418,825,195,1438
2009-08-18,425,855,159,1439
2009-08-19,416,892,191,1499
2009-08-20,501,931,202,1634
2009-08-21,472,901,138,1511
2009-08-22,426,886,167,1479
2009-08-23,377,821,167,1365
2009-08-24,399,781,193,1373
2009-08-25,429,918,202,1549
2009-08-26,427,958,174,1559
2009-08-27,489,903,176,1568
2009-08-28,452,854,119,1425
2009-08-29,416,844,165,1425
2009-08-30,377,783,146,1306
2009-08-31,422,770,152,1344
2009-09-01,565,1055,194,1814
2009-09-02,439,892,161,1492
2009-09-03,412,821,149,1382
2009-09-04,492,929,165,1586
2009-09-05,468,930,151,1549
2009-09-06,376,814,151,1341
2009-09-07,357,733,161,1251
2009-09-08,415,810,193,1418
2009-09-09,434,821,189,1444
2009-09-10,459,832,163,1454
2009-09-11,424,766,137,1327
2009-09-12,447,842,177,1466
2009-09-13,378,781,182,1341
2009-09-14,384,762,183,1329
2009-09-15,461,864,211,1536
2009-09-16,438,891,202,1531
2009-09-17,494,898,193,1585
2009-09-18,494,980,214,1688
2009-09-19,425,843,167,1435
2009-09-20,373,755,151,1279
2009-09-21,431,786,216,1433
2009-09-22,432,851,181,1464
2009-09-23,461,876,179,1516
2009-09-24,460,896,184,1540
2009-09-25,488,928,192,1608
2009-09-26,398,838,157,1393
2009-09-27,342,766,162,1270
2009-09-28,379,709,164,1252
2009-09-29,408,766,173,1347
2009-09-30,429,855,167,1451
2009-10-01,493,1056,192,1741
2009-10-02,500,941,177,1618
2009-10-03,419,926,165,1510
2009-10-04,378,817,172,1367
2009-10-05,416,769,200,1385
2009-10-06,442,886,182,1510
2009-10-07,409,862,152,1423
2009-10-08,471,900,148,1519
2009-10-09,486,894,189,1569
2009-10-10,462,916,139,1517
2009-10-11,352,771,145,1268
2009-10-12,343,664,154,1161
2009-10-13,434,835,167,1436
2009-10-14,415,874,157,1446
2009-10-15,409,806,137,1352
2009-10-16,447,855,169,1471
2009-10-17,399,862,160,1421
2009-10-18,310,676,131,1117
2009-10-19,392,696,153,1241
2009-10-20,453,840,186,1479
2009-10-21,442,955,224,1621
2009-10-22,484,855,205,1544
2009-10-23,538,962,158,1658
2009-10-24,413,797,137,1347
2009-10-25,397,768,148,1313
2009-10-26,397,744,209,1350
2009-10-27,414,789,168,1371
2009-10-28,415,754,156,1325
2009-10-29,479,780,173,1432
2009-10-30,501,957,179,1637
2009-10-31,488,868,182,1538
2009-11-01,467,944,232,1643
2009-11-02,426,816,172,1414
2009-11-03,405,775,149,1329
2009-11-04,427,834,168,1429
2009-11-05,435,831,164,1430
2009-11-06,439,890,178,1507
2009-11-07,402,852,145,1399
2009-11-08,387,706,177,1270
2009-11-09,405,759,194,1358
2009-11-10,439,921,186,1546
2009-11-11,416,826,135,1377
2009-11-12,396,768,156,1320
2009-11-13,482,877,153,1512
2009-11-14,402,778,135,1315
2009-11-15,413,759,174,1346
2009-11-16,461,785,151,1397
2009-11-17,428,914,178,1520
2009-11-18,463,876,145,1484
2009-11-19,409,871,200,1480
2009-11-20,522,1022,209,1753
2009-11-21,428,879,134,1441
2009-11-22,342,696,160,1198
2009-11-23,438,714,164,1316
2009-11-24,451,796,145,1392
2009-11-25,502,826,162,1490
2009-11-26,283,487,111,881
2009-11-27,434,845,124,1403
2009-11-28,397,783,140,1320
2009-11-29,364,690,134,1188
2009-11-30,394,638,163,1195
2009-12-01,534,959,183,1676
2009-12-02,437,848,186,1471
2009-12-03,441,822,159,1422
2009-12-04,474,913,138,1525
2009-12-05,363,823,132,1318
2009-12-06,345,672,131,1148
2009-12-07,396,720,172,1288
2009-12-08,450,774,143,1367
2009-12-09,427,776,146,1349
2009-12-10,434,766,162,1362
2009-12-11,466,825,144,1435
2009-12-12,382,841,148,1371
2009-12-13,286,706,122,1114
2009-12-14,424,688,153,1265
2009-12-15,465,844,163,1472
2009-12-16,475,763,149,1387
2009-12-17,395,706,127,1228
2009-12-18,436,814,134,1384
2009-12-19,329,648,115,1092
2009-12-20,274,518,136,928
2009-12-21,340,583,150,1073
2009-12-22,443,683,168,1294
2009-12-23,416,723,138,1277
2009-12-24,372,576,114,1062
2009-12-25,240,487,129,856
2009-12-26,277,652,121,1050
2009-12-27,329,710,144,1183
2009-12-28,387,662,151,1200
2009-12-29,385,691,103,1179
2009-12-30,459,769,118,1346
2009-12-31,418,624,98,1140
2010-01-01,692,1458,193,2343
2010-01-02,336,743,99,1178
2010-01-03,250,658,138,1046
2010-01-04,356,700,163,1219
2010-01-05,373,834,145,1352
2010-01-06,447,807,175,1429
2010-01-07,462,896,182,1540
2010-01-08,424,911,160,1495
2010-01-09,363,789,146,1298
2010-01-10,340,735,137,1212
2010-01-11,351,717,157,1225
2010-01-12,404,810,130,1344
2010-01-13,418,848,144,1410
2010-01-14,452,907,146,1505
2010-01-15,548,1065,172,1785
2010-01-16,381,932,140,1453
2010-01-17,335,748,140,1223
2010-01-18,365,706,148,1219
2010-01-19,431,858,182,1471
2010-01-20,421,953,136,1510
2010-01-21,435,867,177,1479
2010-01-22,484,988,181,1653
2010-01-23,455,873,134,1462
2010-01-24,341,720,131,1192
2010-01-25,364,694,131,1189
2010-01-26,372,854,154,1380
2010-01-27,423,801,168,1392
2010-01-28,344,790,147,1281
2010-01-29,420,816,130,1366
2010-01-30,335,745,121,1201
2010-01-31,274,647,123,1044
2010-02-01,406,906,173,1485
2010-02-02,391,826,160,1377
2010-02-03,405,818,171,1394
2010-02-04,389,798,148,1335
2010-02-05,450,936,177,1563
2010-02-06,334,783,135,1252
2010-02-07,297,636,132,1065
2010-02-08,307,616,164,1087
2010-02-09,364,717,143,1224
2010-02-10,251,456,135,842
2010-02-11,322,644,132,1098
2010-02-12,441,785,178,1404
2010-02-13,357,786,132,1275
2010-02-14,281,631,117,1029
2010-02-15,281,619,119,1019
2010-02-16,308,628,107,1043
2010-02-17,350,736,133,1219
2010-02-18,376,812,139,1327
2010-02-19,394,814,141,1349
2010-02-20,426,914,130,1470
2010-02-21,290,747,142,1179
2010-02-22,338,712,146,1196
2010-02-23,375,714,142,1231
2010-02-24,381,828,165,1374
2010-02-25,343,623,131,1097
2010-02-26,270,541,121,932
2010-02-27,343,750,153,1246
2010-02-28,271,651,137,1059
2010-03-01,439,929,212,1580
2010-03-02,343,824,178,1345
2010-03-03,453,826,176,1455
2010-03-04,411,866,183,1460
2010-03-05,440,999,166,1605
2010-03-06,376,925,141,1442
2010-03-07,304,805,142,1251
2010-03-08,378,786,169,1333
2010-03-09,368,890,168,1426
2010-03-10,436,931,191,1558
2010-03-11,395,862,158,1415
2010-03-12,422,868,158,1448
2010-03-13,291,646,111,1048
2010-03-14,286,669,133,1088
2010-03-15,393,715,175,1283
2010-03-16,412,843,193,1448
2010-03-17,432,916,166,1514
2010-03-18,429,862,178,1469
2010-03-19,486,916,165,1567
2010-03-20,406,911,150,1467
2010-03-21,328,799,174,1301
2010-03-22,321,675,150,1146
2010-03-23,404,814,192,1410
2010-03-24,384,922,198,1504
2010-03-25,419,918,163,1500
2010-03-26,423,925,175,1523
2010-03-27,373,800,143,1316
2010-03-28,349,677,130,1156
2010-03-29,326,628,125,1079
2010-03-30,319,630,114,1063
2010-03-31,386,800,138,1324
2010-04-01,464,1063,185,1712
2010-04-02,384,865,152,1401
2010-04-03,371,810,144,1325
2010-04-04,305,705,161,1171
2010-04-05,359,752,174,1285
2010-04-06,390,855,153,1398
2010-04-07,403,889,163,1455
2010-04-08,434,937,176,1547
2010-04-09,413,934,186,1533
2010-04-10,368,960,166,1494
2010-04-11,330,755,150,1235
2010-04-12,368,765,190,1323
2010-04-13,411,861,177,1449
2010-04-14,392,885,199,1476
2010-04-15,431,921,171,1523
2010-04-16,444,923,169,1536
2010-04-17,368,935,139,1442
2010-04-18,325,746,137,1208
2010-04-19,412,782,186,1380
2010-04-20,427,992,183,1602
2010-04-21,395,888,196,1479
2010-04-22,460,908,177,1545
2010-04-23,463,957,196,1616
2010-04-24,350,890,143,1383
2010-04-25,303,673,153,1129
2010-04-26,332,693,146,1171
2010-04-27,354,896,185,1435
2010-04-28,410,951,187,1548
2010-04-29,423,870,182,1475
2010-04-30,441,973,198,1612
2010-05-01,464,1023,174,1661
2010-05-02,360,840,160,1360
2010-05-03,405,708,180,1293
2010-05-04,379,879,187,1445
2010-05-05,473,938,175,1586
2010-05-06,434,921,195,1550
2010-05-07,461,1037,190,1688
2010-05-08,402,895,149,1446
2010-05-09,275,749,146,1170
2010-05-10,415,770,177,1362
2010-05-11,383,850,167,1400
2010-05-12,434,845,160,1439
2010-05-13,415,912,169,1496
2010-05-14,451,966,173,1590
2010-05-15,397,908,176,1481
2010-05-16,318,777,170,1265
2010-05-17,391,799,164,1354
2010-05-18,341,725,166,1232
2010-05-19,388,868,170,1426
2010-05-20,495,956,173,1624
2010-05-21,466,1007,208,1681
2010-05-22,409,976,143,1528
2010-05-23,357,733,158,1248
2010-05-24,390,806,164,1360
2010-05-25,413,1001,198,1612
2010-05-26,450,855,184,1489
2010-05-27,441,852,182,1475
2010-05-28,462,977,183,1622
2010-05-29,392,921,148,1461
2010-05-30,328,827,162,1317
2010-05-31,358,720,156,1234
2010-06-01,506,1052,220,1778
2010-06-02,401,909,214,1524
2010-06-03,422,942,176,1540
2010-06-04,495,1020,174,1689
2010-06-05,385,947,186,1518
2010-06-06,347,818,170,1335
2010-06-07,398,796,188,1382
2010-06-08,418,893,181,1492
2010-06-09,365,865,133,1363
2010-06-10,396,940,196,1532
2010-06-11,416,1045,190,1651
2010-06-12,370,887,157,1414
2010-06-13,347,730,157,1234
2010-06-14,407,761,177,1345
2010-06-15,427,899,159,1485
2010-06-16,389,945,168,1502
2010-06-17,414,949,190,1553
2010-06-18,456,1009,164,1629
2010-06-19,400,920,165,1485
2010-06-20,368,799,188,1355
2010-06-21,401,803,155,1359
2010-06-22,434,833,165,1432
2010-06-23,436,917,164,1517
2010-06-24,442,884,154,1480
2010-06-25,480,979,199,1658
2010-06-26,440,879,172,1491
2010-06-27,421,743,163,1327
2010-06-28,411,846,175,1432
2010-06-29,426,925,150,1501
2010-06-30,448,866,170,1484
2010-07-01,542,1062,172,1776
2010-07-02,434,896,162,1492
2010-07-03,421,835,134,1390
2010-07-04,372,825,149,1346
2010-07-05,365,792,162,1319
2010-07-06,400,827,161,1388
2010-07-07,406,847,184,1437
2010-07-08,426,855,174,1455
2010-07-09,448,901,199,1548
2010-07-10,451,918,185,1554
2010-07-11,353,796,144,1293
2010-07-12,380,834,180,1394
2010-07-13,412,767,138,1317
2010-07-14,419,876,151,1446
2010-07-15,464,942,171,1577
2010-07-16,456,977,169,1602
2010-07-17,430,909,160,1499
2010-07-18,370,765,167,1302
2010-07-19,412,807,168,1387
2010-07-20,422,949,198,1569
2010-07-21,421,878,183,1482
2010-07-22,464,931,158,1553
2010-07-23,471,851,173,1495
2010-07-24,414,873,165,1452
2010-07-25,354,825,152,1331
2010-07-26,426,767,159,1352
2010-07-27,436,883,149,1468
2010-07-28,442,824,163,1429
2010-07-29,480,915,181,1576
2010-07-30,444,867,163,1474
2010-07-31,441,854,142,1437
2010-08-01,447,985,191,1623
2010-08-02,402,818,177,1397
2010-08-03,406,739,172,1317
2010-08-04,445,819,144,1408
2010-08-05,397,892,182,1471
2010-08-06,482,950,183,1615
2010-08-07,399,874,163,1436
2010-08-08,388,874,159,1421
2010-08-09,363,756,186,1305
2010-08-10,442,918,201,1561
2010-08-11,427,967,181,1575
2010-08-12,418,850,170,1438
2010-08-13,486,875,147,1508
2010-08-14,437,907,158,1502
2010-08-15,364,900,183,1447
2010-08-16,394,789,151,1334
2010-08-17,440,840,157,1437
2010-08-18,457,832,163,1452
2010-08-19,401,863,154,1418
2010-08-20,459,890,178,1527
2010-08-21,391,909,146,1446
2010-08-22,335,742,150,1227
2010-08-23,386,677,136,1199
2010-08-24,414,813,144,1371
2010-08-25,440,826,142,1408
2010-08-26,468,829,144,1441
2010-08-27,431,946,138,1515
2010-08-28,374,868,150,1392
2010-08-29,379,822,164,1365
2010-08-30,419,788,159,1366
2010-08-31,400,811,147,1358
2010-09-01,525,1089,209,1823
2010-09-02,444,890,181,1515
2010-09-03,496,933,180,1609
2010-09-04,444,940,168,1552
2010-09-05,382,854,158,1394
2010-09-06,388,734,168,1290
2010-09-07,409,842,179,1430
2010-09-08,450,990,176,1616
2010-09-09,422,890,171,1483
2010-09-10,502,949,172,1623
2010-09-11,444,1021,150,1615
2010-09-12,307,805,144,1256
2010-09-13,375,681,175,1231
2010-09-14,391,818,187,1396
2010-09-15,442,959,185,1586
2010-09-16,427,752,170,1349
2010-09-17,466,914,183,1563
2010-09-18,417,931,159,1507
2010-09-19,373,868,181,1422
2010-09-20,409,725,199,1333
2010-09-21,459,864,174,1497
2010-09-22,462,833,161,1456
2010-09-23,467,908,198,1573
2010-09-24,510,933,179,1622
2010-09-25,485,905,186,1576
2010-09-26,369,801,159,1329
2010-09-27,429,716,164,1309
2010-09-28,427,829,168,1424
2010-09-29,455,907,192,1554
2010-09-30,440,824,194,1458
2010-10-01,593,1035,200,1828
2010-10-02,428,968,160,1556
2010-10-03,366,774,147,1287
